customer_id,customer_segment,country,churn_probability,recency_days,frequency,monetary,risk_reason
14393,At Risk / Hibernating,United Kingdom,0.8909690695697574,219,1,67.95,has not purchased for 219 days; only 1 order(s) on record; below-median spend; short customer tenure
16349,At Risk / Hibernating,United Kingdom,0.8873082400692383,291,1,53.5,has not purchased for 291 days; only 1 order(s) on record; below-median spend
14589,At Risk / Hibernating,United Kingdom,0.8805482155721931,638,1,39.75,has not purchased for 638 days; only 1 order(s) on record; below-median spend
15178,At Risk / Hibernating,United Kingdom,0.8793875012864788,261,1,40.5,has not purchased for 261 days; only 1 order(s) on record; below-median spend
16257,At Risk / Hibernating,United Kingdom,0.8793458346198121,177,1,46.95,has not purchased for 177 days; only 1 order(s) on record; below-median spend; short customer tenure
14300,New Customers,United Kingdom,0.8782446441436217,19,1,43.2,only 1 order(s) on record; below-median spend; short customer tenure
15423,At Risk / Hibernating,United Kingdom,0.8782446441436217,333,1,43.5,has not purchased for 333 days; only 1 order(s) on record; below-median spend
15992,At Risk / Hibernating,United Kingdom,0.8782446441436217,181,1,41.989999999999995,has not purchased for 181 days; only 1 order(s) on record; below-median spend; short customer tenure
14821,At Risk / Hibernating,United Kingdom,0.8775637833377609,485,1,48.800000000000004,has not purchased for 485 days; only 1 order(s) on record; below-median spend
15603,New Customers,United Kingdom,0.8775637833377609,79,1,48.480000000000004,only 1 order(s) on record; below-median spend; short customer tenure
12977,At Risk / Hibernating,United Kingdom,0.8765898822388598,186,1,39.24,has not purchased for 186 days; only 1 order(s) on record; below-median spend; short customer tenure
16659,At Risk / Hibernating,United Kingdom,0.8761342172142292,279,1,39.12,has not purchased for 279 days; only 1 order(s) on record; below-median spend
18184,New Customers,United Kingdom,0.8760276722266497,16,1,49.8,only 1 order(s) on record; below-median spend; short customer tenure
13011,At Risk / Hibernating,United Kingdom,0.8756276722266497,666,1,50.550000000000004,has not purchased for 666 days; only 1 order(s) on record; below-median spend
15313,New Customers,United Kingdom,0.8756276722266497,111,1,52.0,has not purchased for 111 days; only 1 order(s) on record; below-median spend; short customer tenure
14351,At Risk / Hibernating,United Kingdom,0.8756276722266497,165,1,51.0,has not purchased for 165 days; only 1 order(s) on record; below-median spend; short customer tenure
17844,New Customers,Canada,0.8756276722266497,107,1,51.56,has not purchased for 107 days; only 1 order(s) on record; below-median spend; short customer tenure
14080,At Risk / Hibernating,United Kingdom,0.8748952851692627,152,1,45.599999999999994,has not purchased for 152 days; only 1 order(s) on record; below-median spend; short customer tenure
15504,New Customers,United Kingdom,0.8690596085956253,82,1,52.83,only 1 order(s) on record; below-median spend; short customer tenure
13938,At Risk / Hibernating,United Kingdom,0.8580409012071776,243,1,71.66,has not purchased for 243 days; only 1 order(s) on record; below-median spend; short customer tenure
13185,At Risk / Hibernating,United Kingdom,0.8580409012071776,268,1,71.4,has not purchased for 268 days; only 1 order(s) on record; below-median spend
17022,New Customers,United Kingdom,0.8580409012071776,121,1,71.0,has not purchased for 121 days; only 1 order(s) on record; below-median spend; short customer tenure
13684,At Risk / Hibernating,United Kingdom,0.8365141143031183,286,1,65.13,has not purchased for 286 days; only 1 order(s) on record; below-median spend
12665,At Risk / Hibernating,Germany,0.8365141143031183,325,1,63.0,has not purchased for 325 days; only 1 order(s) on record; below-median spend
14437,At Risk / Hibernating,United Kingdom,0.8365141143031183,454,1,63.0,has not purchased for 454 days; only 1 order(s) on record; below-median spend
12855,At Risk / Hibernating,United Kingdom,0.8258737894193251,666,1,38.1,has not purchased for 666 days; only 1 order(s) on record; below-median spend
16162,At Risk / Hibernating,United Kingdom,0.8258737894193251,340,1,37.4,has not purchased for 340 days; only 1 order(s) on record; below-median spend
18019,New Customers,United Kingdom,0.824091180723673,52,1,38.45,only 1 order(s) on record; below-median spend; short customer tenure
16990,At Risk / Hibernating,United Kingdom,0.8178308161569992,219,1,179.0,has not purchased for 219 days; only 1 order(s) on record; below-median spend; short customer tenure
15454,At Risk / Hibernating,United Kingdom,0.8178308161569992,363,1,179.1,has not purchased for 363 days; only 1 order(s) on record; below-median spend
17253,New Customers,United Kingdom,0.8178308161569992,19,1,178.26,only 1 order(s) on record; below-median spend; short customer tenure
15292,At Risk / Hibernating,United Kingdom,0.8178308161569992,202,1,178.39,has not purchased for 202 days; only 1 order(s) on record; below-median spend; short customer tenure
15895,New Customers,United Kingdom,0.8178308161569992,150,1,179.17,has not purchased for 150 days; only 1 order(s) on record; below-median spend; short customer tenure
15262,At Risk / Hibernating,United Kingdom,0.8178308161569992,324,1,178.95000000000002,has not purchased for 324 days; only 1 order(s) on record; below-median spend
18045,New Customers,United Kingdom,0.8178308161569992,46,1,178.34,only 1 order(s) on record; below-median spend; short customer tenure
